title,number,date,tweets
makeinindia,1.08877558146081E+018,2019-01-25 12:28:21,"b""Reforms in 'Resolving Insolvency' such as the time bound re-organisation procedure and facilitated continuation of\xe2\x80\xa6 https://t.co/9isflVMmcb"""
makeinindia,1.08877523526719E+018,2019-01-25 12:26:59,"b""With the introduction of 'Direct Port Delivery\xe2\x80\x99, the container freight station costs have been eliminated, and cust\xe2\x80\xa6 https://t.co/PhQbWx3XrE"""
makeinindia,1.088775011111E+018,2019-01-25 12:26:05,b'The government has approved 20 Greenfield Electronics Manufacturing Clusters to provide support for creation of wor\xe2\x80\xa6 https://t.co/H2VIw4qcue'
makeinindia,1.08877483361225E+018,2019-01-25 12:25:23,"b""Trade is the backbone of India's economy. In 'Trading Across Borders' indicator of World Bank's Doing Business repo\xe2\x80\xa6 https://t.co/Bosii0NbOO"""
makeinindia,1.08877445026118E+018,2019-01-25 12:23:52,b'India ranks 1st in Doing Business Report among South Asian countries compared to 6th in 2014. Driven by the vision\xe2\x80\xa6 https://t.co/NkGFqzblFs'
makeinindia,1.08877098870632E+018,2019-01-25 12:10:06,b'JNPT has introduced 15 New Rubber Tyre Gantry Cranes making it easier to handle the shipment at the port. This has\xe2\x80\xa6 https://t.co/SJMJwJV78x'
makeinindia,1.08877062190182E+018,2019-01-25 12:08:39,"b'Under National Centre of Excellence for Large Area Flexible Electronics, 10 Joint Technology Development Projects a\xe2\x80\xa6 https://t.co/f1AaHeBhPR'"
makeinindia,1.08877044892459E+018,2019-01-25 12:07:58,"b'Investments in Electronics Manufacturing (Computer hardware and software, and electronics) stood at USD 32.7 Bn in\xe2\x80\xa6 https://t.co/XOXicjSNR0'"
makeinindia,1.08877026726502E+018,2019-01-25 12:07:14,b'The government has approved 20 Greenfield Electronics Manufacturing Clusters to provide support for creation of wor\xe2\x80\xa6 https://t.co/L2cBMRBT1S'
makeinindia,1.08876995050285E+018,2019-01-25 12:05:59,b'The mining sector witnessed a 337% increase in FDI equity inflows \xe2\x80\x93 from USD 300 Mn during 2010-14 to USD 1.3 billi\xe2\x80\xa6 https://t.co/BeaZgUIZYt'
makeinindia,1.08876953368548E+018,2019-01-25 12:04:19,b'The  Centre of Excellence on Internet of Things (CoE\xe2\x80\x93IoT) has been jointly set up in Public Private Partnership mod\xe2\x80\xa6 https://t.co/A3EKbZBvh5'
makeinindia,1.08876939267302E+018,2019-01-25 12:03:46,b'Mobile Phones is one of the dominant sub-sector in the electronics industry. It witnessed a jump of 60 % as manufac\xe2\x80\xa6 https://t.co/rXbqsknSj1'
makeinindia,1.08876929389289E+018,2019-01-25 12:03:22,b'FDI equity inflows in the Electrical Machinery sector multiplied 3 times (219% increase) \xe2\x80\x93 from USD 1.2Bn received\xe2\x80\xa6 https://t.co/AhB4eVk1Gy'
makeinindia,1.08834308617299E+018,2019-01-24 07:49:46,b'RT @DIPPGOI: The Department of Industrial Policy and Promotion has issued a notification for exemption on Angel Tax: https://t.co/9WpKtmLPT\xe2\x80\xa6'
makeinindia,1.0880355886856E+018,2019-01-23 11:27:53,"b'RT @CIIEvents: India needs to significantly increase productivity, strengthen its R&amp;D ecosystem, improve infra, skill &amp; reskill its ppl in\xe2\x80\xa6'"
makeinindia,1.0880355661413E+018,2019-01-23 11:27:48,"b""RT @CIIEvents: Government's policies are oriented towards dissemination and taking full advantage of new technologies to eventually improve\xe2\x80\xa6"""
makeinindia,1.08803515658421E+018,2019-01-23 11:26:10,b'RT @IndiainSwiss: INDIA IN DAVOS 2019: India\xe2\x80\x99s Electronics Manufacturing and Information Technology success story at display at the Annual\xe2\x80\xa6'
makeinindia,1.08803497884639E+018,2019-01-23 11:25:28,b'Incubated startups have filed twelve patents under the Centre of Excellence on Internet of Things (CoE-IoT)\xe2\x80\xa6 https://t.co/EwKPN7vmOK'
makeinindia,1.08803485044204E+018,2019-01-23 11:24:57,"b'As an #EaseOfDoingBusiness initiative in Mumbai, the requirement of inspection for registration of shops and establ\xe2\x80\xa6 https://t.co/190phoWzKp'"
makeinindia,1.08803448015622E+018,2019-01-23 11:23:29,b'Mumbai has introduced an end-to-end electronic process for construction approvals and real time tracking of applica\xe2\x80\xa6 https://t.co/JxUALDlcRX'
